0 0 1 1 18.713179
0 0 2 2 48.395984
0 0 3 3 18.429647
0 0 4 4 22.605300
0 0 5 5 42.171948
0 0 6 6 19.204875
0 0 7 7 26.303188
0 0 8 8 34.397524
0 0 9 9 40.282175
0 0 10 10 16.283473
0 0 11 12 32.866384
0 0 12 13 40.470105
0 0 13 14 42.029887
0 0 14 15 40.681337
0 0 15 16 28.083804
0 0 16 17 27.957137
1 1 0 0 18.713179
1 1 2 2 38.260261
1 1 3 3 32.005720
1 1 4 4 20.536685
1 1 5 5 42.205397
1 1 6 6 34.746696
1 1 7 7 23.307988
1 1 8 8 20.489105
1 1 9 9 22.618333
1 1 10 10 22.900382
1 1 11 12 28.214756
1 1 12 13 32.952653
1 1 13 14 51.911136
1 1 14 15 30.156467
1 1 15 16 33.903598
1 1 16 17 28.162918
2 2 0 0 48.395984
2 2 1 1 38.260261
2 2 3 3 46.123494
2 2 4 4 26.616671
2 2 5 5 25.033721
2 2 6 6 51.116807
2 2 7 7 55.778874
2 2 8 8 21.606210
2 2 9 9 33.418673
2 2 10 10 55.735405
2 2 11 12 51.146905
2 2 12 13 21.209826
2 2 13 14 48.718986
2 2 14 15 36.027998
2 2 15 16 41.807431
2 2 16 17 31.259918
3 3 0 0 18.429647
3 3 1 1 32.005720
3 3 2 2 46.123494
3 3 4 4 20.987860
3 3 5 5 31.010188
3 3 6 6 7.585430
3 3 7 7 41.891167
3 3 8 8 39.734905
3 3 9 9 50.589086
3 3 10 10 31.389765
3 3 11 12 44.106927
3 3 12 13 39.783667
3 3 13 14 24.644564
3 3 14 15 47.396127
3 3 15 16 23.486716
3 3 16 17 25.056127
4 4 0 0 22.605300
4 4 1 1 20.536685
4 4 2 2 26.616671
4 4 3 3 20.987860
4 4 5 5 22.448651
4 4 6 6 25.848017
4 4 7 7 37.536473
4 4 8 8 19.898404
4 4 9 9 32.604260
4 4 10 10 32.835833
4 4 11 12 36.911301
4 4 12 13 22.949002
4 4 13 14 33.875379
4 4 14 15 32.543178
4 4 15 16 23.390209
4 4 16 17 15.438223
5 5 0 0 42.171948
5 5 1 1 42.205397
5 5 2 2 25.033721
5 5 3 3 31.010188
5 5 4 4 22.448651
5 5 6 6 36.877642
5 5 7 7 59.674086
5 5 8 8 35.389655
5 5 9 9 49.764105
5 5 10 10 54.139377
5 5 11 12 57.242821
5 5 12 13 31.448030
5 5 13 14 27.870925
5 5 14 15 48.606608
5 5 15 16 35.350781
5 5 16 17 28.763234
6 6 0 0 19.204875
6 6 1 1 34.746696
6 6 2 2 51.116807
6 6 3 3 7.585430
6 6 4 4 25.848017
6 6 5 5 36.877642
6 6 7 7 40.132129
6 6 8 8 42.974204
6 6 9 9 53.149989
6 6 10 10 28.857778
6 6 11 12 42.045891
6 6 12 13 41.834126
6 6 13 14 25.390153
6 6 14 15 47.652742
6 6 15 16 21.197665
6 6 16 17 25.927581
7 7 0 0 26.303188
7 7 1 1 23.307988
7 7 2 2 55.778874
7 7 3 3 41.891167
7 7 4 4 37.536473
7 7 5 5 59.674086
7 7 6 6 40.132129
7 7 8 8 34.971382
7 7 9 9 32.389915
7 7 10 10 12.733256
7 7 11 12 13.648704
7 7 12 13 42.178816
7 7 13 14 60.757748
7 7 14 15 30.091010
7 7 15 16 35.822025
7 7 16 17 35.633924
8 8 0 0 34.397524
8 8 1 1 20.489105
8 8 2 2 21.606210
8 8 3 3 39.734905
8 8 4 4 19.898404
8 8 5 5 35.389655
8 8 6 6 42.974204
8 8 7 7 34.971382
8 8 9 9 14.891401
8 8 10 10 37.331294
8 8 11 12 31.153072
8 8 12 13 16.502710
8 8 13 14 50.793671
8 8 14 15 19.105234
8 8 15 16 32.796988
8 8 16 17 22.879140
9 9 0 0 40.282175
9 9 1 1 22.618333
9 9 2 2 33.418673
9 9 3 3 50.589086
9 9 4 4 32.604260
9 9 5 5 49.764105
9 9 6 6 53.149989
9 9 7 7 32.389915
9 9 8 8 14.891401
9 9 10 10 39.158551
9 9 11 12 30.152916
9 9 12 13 29.003046
9 9 13 14 64.652377
9 9 14 15 20.773551
9 9 15 16 43.734296
9 9 16 17 35.382139
10 10 0 0 16.283473
10 10 1 1 22.900382
10 10 2 2 55.735405
10 10 3 3 31.389765
10 10 4 4 32.835833
10 10 5 5 54.139377
10 10 6 6 28.857778
10 10 7 7 12.733256
10 10 8 8 37.331294
10 10 9 9 39.158551
10 10 11 12 21.216328
10 10 12 13 42.795481
10 10 13 14 51.661299
10 10 14 15 35.972373
10 10 15 16 29.883468
10 10 16 17 31.834158
11 12 0 0 32.866384
11 12 1 1 28.214756
11 12 2 2 51.146905
11 12 3 3 44.106927
11 12 4 4 36.911301
11 12 5 5 57.242821
11 12 6 6 42.045891
11 12 7 7 13.648704
11 12 8 8 31.153072
11 12 9 9 30.152916
11 12 10 10 21.216328
11 12 12 13 34.084590
11 12 13 14 58.126422
11 12 14 15 19.677016
11 12 15 16 30.571214
11 12 16 17 30.191593
12 13 0 0 40.470105
12 13 1 1 32.952653
12 13 2 2 21.209826
12 13 3 3 39.783667
12 13 4 4 22.949002
12 13 5 5 31.448030
12 13 6 6 41.834126
12 13 7 7 42.178816
12 13 8 8 16.502710
12 13 9 9 29.003046
12 13 10 10 42.795481
12 13 11 12 34.084590
12 13 13 14 42.752735
12 13 14 15 19.244874
12 13 15 16 25.687957
12 13 16 17 16.254180
13 14 0 0 42.029887
13 14 1 1 51.911136
13 14 2 2 48.718986
13 14 3 3 24.644564
13 14 4 4 33.875379
13 14 5 5 27.870925
13 14 6 6 25.390153
13 14 7 7 60.757748
13 14 8 8 50.793671
13 14 9 9 64.652377
13 14 10 10 51.661299
13 14 11 12 58.126422
