0 0 0 1 1 18.713179
1 0 0 2 2 48.395984
2 0 0 3 3 18.429647
3 0 0 4 4 22.605300
4 0 0 5 5 42.171948
5 0 0 6 6 19.204875
6 0 0 7 7 26.303188
7 0 0 8 8 34.397524
8 0 0 9 9 40.282175
9 0 0 10 10 16.283473
10 0 0 11 12 32.866384
11 0 0 12 13 40.470105
12 0 0 13 14 42.029887
13 0 0 14 15 40.681337
14 0 0 15 16 28.083804
15 0 0 16 17 27.957137
16 1 1 2 2 38.260261
17 1 1 3 3 32.005720
18 1 1 4 4 20.536685
19 1 1 5 5 42.205397
20 1 1 6 6 34.746696
21 1 1 7 7 23.307988
22 1 1 8 8 20.489105
23 1 1 9 9 22.618333
24 1 1 10 10 22.900382
25 1 1 11 12 28.214756
26 1 1 12 13 32.952653
27 1 1 13 14 51.911136
28 1 1 14 15 30.156467
29 1 1 15 16 33.903598
30 1 1 16 17 28.162918
31 2 2 3 3 46.123494
32 2 2 4 4 26.616671
33 2 2 5 5 25.033721
34 2 2 6 6 51.116807
35 2 2 7 7 55.778874
36 2 2 8 8 21.606210
37 2 2 9 9 33.418673
38 2 2 10 10 55.735405
39 2 2 11 12 51.146905
40 2 2 12 13 21.209826
41 2 2 13 14 48.718986
42 2 2 14 15 36.027998
43 2 2 15 16 41.807431
44 2 2 16 17 31.259918
45 3 3 4 4 20.987860
46 3 3 5 5 31.010188
47 3 3 6 6 7.585430
48 3 3 7 7 41.891167
49 3 3 8 8 39.734905
50 3 3 9 9 50.589086
51 3 3 10 10 31.389765
52 3 3 11 12 44.106927
53 3 3 12 13 39.783667
54 3 3 13 14 24.644564
55 3 3 14 15 47.396127
56 3 3 15 16 23.486716
57 3 3 16 17 25.056127
58 4 4 5 5 22.448651
59 4 4 6 6 25.848017
60 4 4 7 7 37.536473
61 4 4 8 8 19.898404
62 4 4 9 9 32.604260
63 4 4 10 10 32.835833
64 4 4 11 12 36.911301
65 4 4 12 13 22.949002
66 4 4 13 14 33.875379
67 4 4 14 15 32.543178
68 4 4 15 16 23.390209
69 4 4 16 17 15.438223
70 5 5 6 6 36.877642
71 5 5 7 7 59.674086
72 5 5 8 8 35.389655
73 5 5 9 9 49.764105
74 5 5 10 10 54.139377
75 5 5 11 12 57.242821
76 5 5 12 13 31.448030
77 5 5 13 14 27.870925
78 5 5 14 15 48.606608
79 5 5 15 16 35.350781
80 5 5 16 17 28.763234
81 6 6 7 7 40.132129
82 6 6 8 8 42.974204
83 6 6 9 9 53.149989
84 6 6 10 10 28.857778
85 6 6 11 12 42.045891
86 6 6 12 13 41.834126
87 6 6 13 14 25.390153
88 6 6 14 15 47.652742
89 6 6 15 16 21.197665
90 6 6 16 17 25.927581
91 7 7 8 8 34.971382
92 7 7 9 9 32.389915
93 7 7 10 10 12.733256
94 7 7 11 12 13.648704
95 7 7 12 13 42.178816
96 7 7 13 14 60.757748
97 7 7 14 15 30.091010
98 7 7 15 16 35.822025
99 7 7 16 17 35.633924
100 8 8 9 9 14.891401
101 8 8 10 10 37.331294
102 8 8 11 12 31.153072
103 8 8 12 13 16.502710
104 8 8 13 14 50.793671
105 8 8 14 15 19.105234
106 8 8 15 16 32.796988
107 8 8 16 17 22.879140
108 9 9 10 10 39.158551
109 9 9 11 12 30.152916
110 9 9 12 13 29.003046
111 9 9 13 14 64.652377
112 9 9 14 15 20.773551
113 9 9 15 16 43.734296
114 9 9 16 17 35.382139
115 10 10 11 12 21.216328
116 10 10 12 13 42.795481
117 10 10 13 14 51.661299
118 10 10 14 15 35.972373
119 10 10 15 16 29.883468
120 10 10 16 17 31.834158
121 11 12 12 13 34.084590
122 11 12 13 14 58.126422
123 11 12 14 15 19.677016
124 11 12 15 16 30.571214
125 11 12 16 17 30.191593
126 12 13 13 14 42.752735
127 12 13 14 15 19.244874
128 12 13 15 16 25.687957
129 12 13 16 17 16.254180
130 13 14 14 15 56.370323
131 13 14 15 16 28.105486
132 13 14 16 17 31.079975
133 14 15 15 16 31.421769
134 14 15 16 17 25.523408
135 15 16 16 17 10.827828
-1 -1 -1 -1 -1 -1
